Threads,1,2,3,4,5,Average
1,37.04,36.80,36.69,36.75,36.67,36.79
2,18.81,18.81,18.81,18.83,18.85,18.82
4,9.48,9.47,9.44,9.42,9.45,9.45
8,7.31,7.27,7.28,7.27,7.25,7.28
16,6.99,6.85,6.85,6.89,6.83,6.88
32,6.66,6.69,6.76,6.74,6.81,6.73
64,6.72,6.76,6.73,6.75,6.72,6.74
128,6.74,6.76,6.73,6.76,6.74,6.74
