Dim 1,Dim 2,Time (sec.),Block
1024,1024,5.27,1
1024,1024,1.80,2
1024,1024,0.81,4
1024,1024,0.64,8
1024,1024,0.52,16
1024,1024,0.51,32
1024,1024,0.51,64
1024,1024,0.50,128
1024,1024,0.70,256
1024,1024,0.82,512
1024,1024,1.03,1024
1024,2048,55.32,1
1024,2048,23.94,2
1024,2048,8.61,4
1024,2048,5.08,8
1024,2048,4.45,16
1024,2048,4.18,32
1024,2048,4.17,64
1024,2048,4.08,128
1024,2048,4.37,256
1024,2048,6.76,512
1024,2048,9.49,1024
1024,2880,133.75,1
1024,2880,64.56,2
1024,2880,24.99,4
1024,2880,16.51,8
1024,2880,13.06,16
1024,2880,13.20,32
1024,2880,13.43,64
1024,2880,13.15,144
1024,2880,16.08,288
1024,2880,20.29,576
1024,2880,97.29,1440
