Threads,Amdahl speedup,Speedup,Amdahl efficency,Efficency
1,1.00,1.00,1.00,1.00
2,1.82,1.82,0.91,0.91
4,3.08,3.08,0.77,0.77
8,4.71,4.71,0.59,0.59
16,6.40,5.32,0.40,0.33
32,7.80,5.48,0.24,0.17
64,8.77,5.49,0.14,0.09
128,9.34,5.48,0.07,0.04
