Threads,1,2,3,4,5,Average
1,439.34,438.91,438.95,438.96,438.88,439.01
2,223.30,223.55,222.96,222.96,222.89,223.13
4,112.48,112.68,112.75,112.73,112.35,112.60
8,77.75,77.67,78.04,77.74,77.05,77.65
16,65.82,65.72,65.87,65.84,66.51,65.95
32,65.65,65.66,65.61,65.50,65.80,65.64
64,65.85,65.76,65.87,65.83,65.84,65.83
128,66.61,66.55,66.51,66.45,66.53,66.53
